Pass	Rep	AA	MO	RE	BS	OA	CX	SX	Total
1	A1	16000000.00	90000000.00	8000000.00	12000000.00	174000000.00	0.00	2000000.00	302000000.00
1	A2	34000000.00	98000000.00	14000000.00	2000000.00	204000000.00	0.00	2000000.00	354000000.00
1	B1	22000000.00	130000000.00	16000000.00	2000000.00	202000000.00	0.00	0.00	372000000.00
1	B2	24000000.00	192000000.00	22000000.00	600000.00	304000000.00	0.00	0.00	542600000.00
1	C1	44000000.00	68000000.00	8000000.00	4000000.00	206000000.00	0.00	8000000.00	338000000.00
1	C2	50000000.00	140000000.00	6000000.00	6000000.00	288000000.00	0.00	4000000.00	494000000.00
1	D1	54000000.00	160000000.00	2000000.00	2000000.00	320000000.00	0.00	8000000.00	546000000.00
1	D2	48000000.00	120000000.00	2000000.00	2000000.00	240000000.00	0.00	8000000.00	420000000.00
1	E1	40000000.00	80000000.00	2000000.00	800000.00	240000000.00	0.00	8000000.00	370800000.00
1	E2	50000000.00	104000000.00	4000000.00	8000000.00	232000000.00	0.00	48000000.00	446000000.00
1	F1	96000000.00	136000000.00	6000000.00	4000000.00	320000000.00	0.00	6000000.00	568000000.00
1	F2	72000000.00	160000000.00	2000000.00	2000000.00	360000000.00	0.00	0.00	596000000.00
1	G1	46000000.00	62000000.00	2000000.00	20000000.00	272000000.00	0.00	26000000.00	428000000.00
1	G2	54000000.00	92000000.00	2000000.00	2000000.00	106000000.00	0.00	24000000.00	280000000.00
1	H1	84000000.00	88000000.00	2000000.00	2000000.00	182000000.00	0.00	0.00	358000000.00
1	H2	36000000.00	128000000.00	2000000.00	8000000.00	240000000.00	0.00	2000000.00	416000000.00
1	I1	62000000.00	60000000.00	6000000.00	10000000.00	256000000.00	0.00	0.00	394000000.00
1	I2	244000000.00	272000000.00	6000000.00	4000000.00	216000000.00	0.00	6000000.00	748000000.00
1	J1	48000000.00	168000000.00	10000000.00	2000000.00	344000000.00	0.00	8000000.00	580000000.00
1	J2	80000000.00	160000000.00	12000000.00	4000000.00	200000000.00	0.00	8000000.00	464000000.00
1	K1	32000000.00	160000000.00	8000000.00	2000000.00	200000000.00	0.00	0.00	402000000.00
1	K2	56000000.00	96000000.00	6000000.00	4000000.00	200000000.00	0.00	0.00	362000000.00
1	L1	40000000.00	104000000.00	2000000.00	2000000.00	256000000.00	0.00	8000000.00	412000000.00
1	L2	12000000.00	160000000.00	6000000.00	2000000.00	240000000.00	0.00	0.00	420000000.00
2	A1	112000000.00	200000000.00	0.00	20000000.00	360000000.00	0.00	0.00	692000000.00
2	A2	160000000.00	240000000.00	0.00	6000000.00	400000000.00	0.00	0.00	806000000.00
2	B1	240000000.00	400000000.00	0.00	2000000.00	320000000.00	0.00	0.00	962000000.00
2	B2	104000000.00	208000000.00	0.00	2000000.00	208000000.00	0.00	0.00	522000000.00
2	C1	160000000.00	248000000.00	0.00	2000000.00	320000000.00	0.00	0.00	730000000.00
2	C2	160000000.00	248000000.00	0.00	12000000.00	272000000.00	0.00	0.00	692000000.00
2	D1	144000000.00	344000000.00	0.00	4000000.00	360000000.00	0.00	0.00	852000000.00
